id,date.entered,week,rating
0,2000-02-26,wk1,87.0
0,2000-02-26,wk2,82.0
0,2000-02-26,wk3,72.0
0,2000-02-26,wk4,77.0
0,2000-02-26,wk5,87.0
0,2000-02-26,wk6,94.0
0,2000-02-26,wk7,99.0
0,2000-02-26,wk8,
0,2000-02-26,wk9,
0,2000-02-26,wk10,
0,2000-02-26,wk11,
0,2000-02-26,wk12,
0,2000-02-26,wk13,
0,2000-02-26,wk14,
0,2000-02-26,wk15,
0,2000-02-26,wk16,
0,2000-02-26,wk17,
0,2000-02-26,wk18,
0,2000-02-26,wk19,
0,2000-02-26,wk20,
0,2000-02-26,wk21,
0,2000-02-26,wk22,
0,2000-02-26,wk23,
0,2000-02-26,wk24,
0,2000-02-26,wk25,
0,2000-02-26,wk26,
0,2000-02-26,wk27,
0,2000-02-26,wk28,
0,2000-02-26,wk29,
0,2000-02-26,wk30,
0,2000-02-26,wk31,
0,2000-02-26,wk32,
0,2000-02-26,wk33,
0,2000-02-26,wk34,
0,2000-02-26,wk35,
0,2000-02-26,wk36,
0,2000-02-26,wk37,
0,2000-02-26,wk38,
0,2000-02-26,wk39,
0,2000-02-26,wk40,
0,2000-02-26,wk41,
0,2000-02-26,wk42,
0,2000-02-26,wk43,
0,2000-02-26,wk44,
0,2000-02-26,wk45,
0,2000-02-26,wk46,
0,2000-02-26,wk47,
0,2000-02-26,wk48,
0,2000-02-26,wk49,
0,2000-02-26,wk50,
0,2000-02-26,wk51,
0,2000-02-26,wk52,
0,2000-02-26,wk53,
0,2000-02-26,wk54,
0,2000-02-26,wk55,
0,2000-02-26,wk56,
0,2000-02-26,wk57,
0,2000-02-26,wk58,
0,2000-02-26,wk59,
0,2000-02-26,wk60,
0,2000-02-26,wk61,
0,2000-02-26,wk62,
0,2000-02-26,wk63,
0,2000-02-26,wk64,
0,2000-02-26,wk65,
0,2000-02-26,wk66,
0,2000-02-26,wk67,
0,2000-02-26,wk68,
0,2000-02-26,wk69,
0,2000-02-26,wk70,
0,2000-02-26,wk71,
0,2000-02-26,wk72,
0,2000-02-26,wk73,
0,2000-02-26,wk74,
0,2000-02-26,wk75,
0,2000-02-26,wk76,
